127.0.0.1 - - [11/Aug/2023:11:56:12 +0545] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [11/Aug/2023:11:56:19 +0545] "GET /class1/NewFile.jsp HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [11/Aug/2023:11:56:23 +0545] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [11/Aug/2023:11:57:08 +0545] "GET /class1/NewFile.jsp HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [11/Aug/2023:11:57:29 +0545] "GET /class1/NewFile.jsp HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [11/Aug/2023:11:59:15 +0545] "GET /class1/NewFile.jsp HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [11/Aug/2023:11:59:34 +0545] "GET /class1/NewFile.jsp HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [11/Aug/2023:12:01:07 +0545] "GET /class1/NewFile.jsp HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [11/Aug/2023:12:02:00 +0545] "GET /class1/NewFile.jsp HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [11/Aug/2023:12:02:12 +0545] "GET /class1/NewFile.jsp HTTP/1.1" 200 343
0:0:0:0:0:0:0:1 - - [11/Aug/2023:12:02:24 +0545] "GET /class1/NewFile.jsp HTTP/1.1" 200 343
0:0:0:0:0:0:0:1 - - [11/Aug/2023:12:04:51 +0545] "GET /class1/NewFile.jsp HTTP/1.1" 200 352
